clip_id,audio_file,emotion,speaker_id,pleasantness,goal_relevance,goal_congruence,certainty,control,responsibility,fairness,effort,expectation,novelty,urgency,intensity,coping_potential,social_desirability,moral_worth,attribution,anticipated_emotion
03-01-01-01-02-02-01,Actor_01/03-01-01-01-02-02-01.wav,neutral,actor_01,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-02,Actor_02/03-01-01-01-01-01-02.wav,neutral,actor_02,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-03,Actor_03/03-01-01-01-02-02-03.wav,neutral,actor_03,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-04,Actor_04/03-01-01-01-02-01-04.wav,neutral,actor_04,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-05,Actor_05/03-01-01-01-01-02-05.wav,neutral,actor_05,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-06,Actor_06/03-01-01-01-01-01-06.wav,neutral,actor_06,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-07,Actor_07/03-01-01-01-02-02-07.wav,neutral,actor_07,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-08,Actor_08/03-01-01-01-02-02-08.wav,neutral,actor_08,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-09,Actor_09/03-01-01-01-02-02-09.wav,neutral,actor_09,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-10,Actor_10/03-01-01-01-02-01-10.wav,neutral,actor_10,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-11,Actor_11/03-01-01-01-02-02-11.wav,neutral,actor_11,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-12,Actor_12/03-01-01-01-02-01-12.wav,neutral,actor_12,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-13,Actor_13/03-01-01-01-01-01-13.wav,neutral,actor_13,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-14,Actor_14/03-01-01-01-02-01-14.wav,neutral,actor_14,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-15,Actor_15/03-01-01-01-01-02-15.wav,neutral,actor_15,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-16,Actor_16/03-01-01-01-01-02-16.wav,neutral,actor_16,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-17,Actor_17/03-01-01-01-01-01-17.wav,neutral,actor_17,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-18,Actor_18/03-01-01-01-01-02-18.wav,neutral,actor_18,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-19,Actor_19/03-01-01-01-02-02-19.wav,neutral,actor_19,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-20,Actor_20/03-01-01-01-02-01-20.wav,neutral,actor_20,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-21,Actor_21/03-01-01-01-01-02-21.wav,neutral,actor_21,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-22,Actor_22/03-01-01-01-02-01-22.wav,neutral,actor_22,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-23,Actor_23/03-01-01-01-02-01-23.wav,neutral,actor_23,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-24,Actor_24/03-01-01-01-01-02-24.wav,neutral,actor_24,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-01,Actor_01/03-01-01-01-01-01-01.wav,neutral,actor_01,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-02,Actor_02/03-01-01-01-02-01-02.wav,neutral,actor_02,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-03,Actor_03/03-01-01-01-01-01-03.wav,neutral,actor_03,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-04,Actor_04/03-01-01-01-01-02-04.wav,neutral,actor_04,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-05,Actor_05/03-01-01-01-02-02-05.wav,neutral,actor_05,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-06,Actor_06/03-01-01-01-01-02-06.wav,neutral,actor_06,,,,,,,,,,,,,,,,,
03-01-01-01-01-02-07,Actor_07/03-01-01-01-01-02-07.wav,neutral,actor_07,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-08,Actor_08/03-01-01-01-01-01-08.wav,neutral,actor_08,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-09,Actor_09/03-01-01-01-02-01-09.wav,neutral,actor_09,,,,,,,,,,,,,,,,,
03-01-01-01-02-02-10,Actor_10/03-01-01-01-02-02-10.wav,neutral,actor_10,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-11,Actor_11/03-01-01-01-01-01-11.wav,neutral,actor_11,,,,,,,,,,,,,,,,,
03-01-01-01-01-01-12,Actor_12/03-01-01-01-01-01-12.wav,neutral,actor_12,,,,,,,,,,,,,,,,,
03-01-01-01-02-01-13,Actor_13/03-01-01-01-02-01-13.wav,neutral,actor_13,,,,,,,,,,,,,,,,,
03-01-02-01-02-01-01,Actor_01/03-01-02-01-02-01-01.wav,calm,actor_01,,,,,,,,,,,,,,,,,
03-01-02-02-01-01-02,Actor_02/03-01-02-02-01-01-02.wav,calm,actor_02,,,,,,,,,,,,,,,,,
03-01-02-02-02-02-03,Actor_03/03-01-02-02-02-02-03.wav,calm,actor_03,,,,,,,,,,,,,,,,,
03-01-02-02-01-01-04,Actor_04/03-01-02-02-01-01-04.wav,calm,actor_04,,,,,,,,,,,,,,,,,
03-01-02-02-01-01-05,Actor_05/03-01-02-02-01-01-05.wav,calm,actor_05,,,,,,,,,,,,,,,,,
03-01-02-01-01-01-06,Actor_06/03-01-02-01-01-01-06.wav,calm,actor_06,,,,,,,,,,,,,,,,,
03-01-02-02-02-01-07,Actor_07/03-01-02-02-02-01-07.wav,calm,actor_07,,,,,,,,,,,,,,,,,
03-01-02-02-02-02-08,Actor_08/03-01-02-02-02-02-08.wav,calm,actor_08,,,,,,,,,,,,,,,,,
03-01-02-01-02-02-09,Actor_09/03-01-02-01-02-02-09.wav,calm,actor_09,,,,,,,,,,,,,,,,,
03-01-02-01-02-02-10,Actor_10/03-01-02-01-02-02-10.wav,calm,actor_10,,,,,,,,,,,,,,,,,
03-01-02-01-01-01-11,Actor_11/03-01-02-01-01-01-11.wav,calm,actor_11,,,,,,,,,,,,,,,,,
